id,pic,line,x0,y0,x1,y1,w0,c_gray,red,green,blue,alpha
0,1,1,197,164,197,167,7.124283,0,0,0,0,0
1,1,1,197,167,202,170,9.026371,0,0,0,0,0
2,1,1,202,170,203,170,9.537908,0,0,0,0,0
3,1,1,203,170,205,171,10.003052,0,0,0,0,0
4,1,1,205,171,208,171,10.210597,0,0,0,0,0
5,1,1,208,171,212,172,10.237455,0,0,0,0,0
6,1,1,212,172,220,174,10.21426,0,0,0,0,0
7,1,1,220,174,227,176,10.2411175,0,0,0,0,0
8,1,1,227,176,235,177,10.332682,0,0,0,0,0
9,1,1,235,177,245,179,10.757539,0,0,0,0,0
10,1,1,245,179,254,181,10.871078,0,0,0,0,0
11,1,1,254,181,266,183,10.965084,0,0,0,0,0
12,1,1,266,183,279,185,11.038335,0,0,0,0,0
13,1,1,279,185,294,188,11.099377,0,0,0,0,0
14,1,1,294,188,305,189,11.283726,0,0,0,0,0
15,1,1,305,189,321,191,11.487608,0,0,0,0,0
16,1,1,321,191,333,193,12.061409,0,0,0,0,0
17,1,1,333,193,344,192,12.160297,0,0,0,0,0
18,1,1,344,192,356,190,12.233549,0,0,0,0,0
19,1,1,356,190,369,189,12.283604,0,0,0,0,0
20,1,1,369,189,383,188,12.310463,0,0,0,0,0
21,1,1,383,188,399,188,12.290929,0,0,0,0,0
22,1,1,399,188,412,188,12.300695,0,0,0,0,0
23,1,1,412,188,422,187,12.288487,0,0,0,0,0
24,1,1,422,187,433,185,12.344646,0,0,0,0,0
25,1,1,433,185,444,182,12.397143,0,0,0,0,0
26,1,1,444,182,455,179,12.453302,0,0,0,0,0
27,1,1,455,179,472,171,12.4447565,0,0,0,0,0
28,1,1,472,171,477,169,12.454523,0,0,0,0,0
29,1,1,477,169,484,166,12.4447565,0,0,0,0,0
30,1,1,484,166,489,164,12.455744,0,0,0,0,0
31,1,1,489,164,492,162,12.488708,0,0,0,0,0
32,1,1,492,162,492,161,12.253082,0,0,0,0,0
33,1,1,492,161,492,160,11.620682,0,0,0,0,0
34,1,1,492,160,489,159,7.5442557,0,0,0,0,0
35,1,1,489,159,482,158,5.0,0,0,0,0,0
36,1,2,347,101,348,102,6.549261,0,0,0,0,0
37,1,2,348,102,349,102,7.113295,0,0,0,0,0
38,1,2,349,102,350,101,7.508851,0,0,0,0,0
39,1,2,350,101,351,100,8.2376995,0,0,0,0,0
40,1,2,351,100,352,97,8.96899,0,0,0,0,0
41,1,2,352,97,352,95,9.210719,0,0,0,0,0
42,1,2,352,95,352,94,9.554999,0,0,0,0,0
43,1,2,352,94,352,95,9.97253,0,0,0,0,0
44,1,2,352,95,353,96,10.18618,0,0,0,0,0
45,1,2,353,96,354,100,10.6061535,0,0,0,0,0
46,1,2,354,100,354,106,10.828348,0,0,0,0,0
47,1,2,354,106,353,112,11.165304,0,0,0,0,0
48,1,2,353,112,352,120,11.746429,0,0,0,0,0
49,1,2,352,120,351,129,12.37883,0,0,0,0,0
50,1,2,351,129,351,138,12.897692,0,0,0,0,0
51,1,2,351,138,351,148,13.646075,0,0,0,0,0
52,1,2,351,148,350,156,14.029423,0,0,0,0,0
53,1,2,350,156,349,164,14.100232,0,0,0,0,0
54,1,2,349,164,346,172,14.256501,0,0,0,0,0
55,1,2,346,172,345,181,14.399341,0,0,0,0,0
56,1,2,345,181,343,189,14.788793,0,0,0,0,0
57,1,2,343,189,341,196,15.0,0,0,0,0,0
58,1,2,341,196,339,207,15.0,0,0,0,0,0
59,1,2,339,207,338,213,15.0,0,0,0,0,0
60,1,2,338,213,337,222,15.0,0,0,0,0,0
61,1,2,337,222,337,231,15.0,0,0,0,0,0
62,1,2,337,231,335,243,15.0,0,0,0,0,0
63,1,2,335,243,335,251,15.0,0,0,0,0,0
64,1,2,335,251,333,259,15.0,0,0,0,0,0
65,1,2,333,259,332,269,15.0,0,0,0,0,0
66,1,2,332,269,331,280,15.0,0,0,0,0,0
